session_id,timestamp,success,training_duration_seconds,total_samples,categories_count,accuracy,loss,val_accuracy,val_loss,model_path,notes
session_20250929_153754,2025-09-29T15:37:54.487296,True,120.5,1000,7,0.85,0,0,0,test_model.pkl,
session_20250929_153754,2025-09-29T15:37:54.539306,True,0.002135753631591797,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_153754,2025-09-29T15:37:54.579153,True,120.5,1000,7,0.85,0,0,0,test_model_0.pkl,
session_20250929_153754,2025-09-29T15:37:54.580079,True,130.5,1100,7,0.86,0,0,0,test_model_1.pkl,
session_20250929_153754,2025-09-29T15:37:54.580703,True,140.5,1200,7,0.87,0,0,0,test_model_2.pkl,
session_20250929_153754,2025-09-29T15:37:54.581361,True,150.5,1300,7,0.88,0,0,0,test_model_3.pkl,
session_20250929_153754,2025-09-29T15:37:54.581952,True,160.5,1400,7,0.89,0,0,0,test_model_4.pkl,
session_20250929_153754,2025-09-29T15:37:54.582583,True,170.5,1500,7,0.9,0,0,0,test_model_5.pkl,
session_20250929_153754,2025-09-29T15:37:54.583145,True,180.5,1600,7,0.9099999999999999,0,0,0,test_model_6.pkl,
session_20250929_153754,2025-09-29T15:37:54.583859,True,190.5,1700,7,0.9199999999999999,0,0,0,test_model_7.pkl,
session_20250929_153754,2025-09-29T15:37:54.584559,True,200.5,1800,7,0.9299999999999999,0,0,0,test_model_8.pkl,
session_20250929_153754,2025-09-29T15:37:54.585287,True,210.5,1900,7,0.94,0,0,0,test_model_9.pkl,
session_20250929_153849,2025-09-29T15:38:49.431579,True,0.002857208251953125,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_161923,2025-09-29T16:19:23.896723,True,0.002866983413696289,100,7,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_162446,2025-09-29T16:24:46.892235,True,0.0025496482849121094,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_163358,2025-09-29T16:33:58.759674,True,0.004392147064208984,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_164527,2025-09-29T16:45:27.103949,True,0.026054859161376953,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_190011,2025-09-29T19:00:11.692595,True,0.0021505355834960938,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_201248,2025-09-29T20:12:48.762645,True,0.020375728607177734,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
session_20250929_203151,2025-09-29T20:31:51.597752,True,0.013256072998046875,21,6,0.75,0.5,0.7,0,ai_agent/models/trained_model,
